Site,"Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA","Otsego Lake, NY, USA"
"Time America/New_York UTC-04:00","Processor Power","RTC Power","Primary Power","Secondary Power","Sensor Power","Total System Current","Sensor Current","Internal Pressure","Internal Temperature","Internal Humidity","Cell Signal Strength","Cell Status",Temp_0m,Temp_2m,Temp_4m,Temp_6m,Temp_8m,Temp_10m,Temp_12m,Temp_14m,Temp_16m,Temp_18m,Temp_20m,Temp_25m,Temp_30m,Temp_35m,Temp_40m,Temp_42m,Temp_44m,Temp_46m,Temp_48m,"Air Temperature","Relative Humidity","Rel. Barometric Pressure","Wind Speed","Max Wind Sp","Wind Direction","Precip Type","Rain Intensity","Total Rain","Interval Rain",Heading,mv,PAR,Temperature,"Sp Cond",pH,ODOSat,ODO,Temperature,"Sp Cond",pH,ODOSat,ODO,BGA-PC,"BGA-Phycocyanin RFU",Chlorophyll,"Chlorophyll RFU","FDOM QSU"
,V,V,V,V,V,mA,mA,mBar,C,%,dB,,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,%,hPa,m/s,m/s,Degree,,mm/h,mm,mm,Degree,mV,umol/s/m2,C,uS/cm,,%,mg/L,C,uS/cm,,%,mg/L,ug/L,RFU,ug/L,RFU,
"10-01-2019 00:00:00",,,12.9,,,,,,,,-59,0,18.56,18.56,18.57,18.51,18.54,18.46,15.61,11.90,9.34,7.62,7.18,6.44,5.91,5.45,5.15,5.07,4.98,4.99,4.93,14.80,100,1017.2,6.5,7.7,182,0,0.0,0.0,0.0,217.0,0.02,6,5.39,294,8.08,70.9,8.96,18.61,268,8.76,103.9,9.71,0,-0.4,1.1,0.3,3.930
"10-01-2019 00:15:00",,,,,,,,,,,,,18.55,18.55,18.56,18.50,18.56,18.48,14.79,11.72,9.36,7.70,7.27,6.53,5.98,5.49,5.18,5.09,4.98,4.99,4.93,14.80,100,1017.3,6.1,6.7,192,0,0.0,0.0,0.0,218.0,0.02,5,5.43,294,8.09,71.9,9.08,18.60,268,8.76,103.8,9.70,0,-0.4,1.0,0.2,3.800
"10-01-2019 00:30:00",,,,,,,,,,,,,18.55,18.55,18.55,18.50,18.55,18.49,15.04,12.05,9.36,8.14,7.26,6.53,5.97,5.50,5.18,5.10,4.98,4.99,4.94,14.80,100,1016.7,5.9,6.3,187,0,0.0,0.0,0.0,219.0,0.02,6,5.44,294,8.09,72.0,9.08,18.59,268,8.75,103.8,9.71,0,-0.4,1.0,0.3,3.960
"10-01-2019 00:45:00",,,,,,,,,,,,,18.55,18.54,18.55,18.50,18.56,18.51,15.84,11.74,9.04,7.66,7.29,6.56,6.02,5.50,5.19,5.10,4.99,5.00,4.94,15.10,100,1016.5,6.0,6.2,191,0,0.0,0.0,0.0,219.0,0.02,5,5.44,294,8.09,72.2,9.10,18.59,268,8.76,103.8,9.70,0,-0.4,1.0,0.3,3.880
"10-01-2019 01:00:00",,,12.9,,,,,,,,-57,0,18.54,18.54,18.55,18.49,18.55,18.36,15.45,12.24,9.32,8.38,7.48,6.62,6.07,5.52,5.26,5.11,5.03,5.01,4.94,15.10,100,1016.5,6.7,7.0,194,0,0.0,0.0,0.0,215.0,0.02,5,5.49,294,8.09,72.3,9.11,18.58,268,8.76,103.8,9.70,0,-0.4,1.1,0.3,3.900
"10-01-2019 01:15:00",,,,,,,,,,,,,18.53,18.54,18.55,18.50,18.53,18.11,16.08,11.89,9.28,7.89,7.37,6.65,6.10,5.56,5.29,5.14,5.05,5.02,4.94,15.10,100,1016.5,5.0,5.8,191,0,0.0,0.0,0.0,220.0,0.02,5,5.53,294,8.09,72.3,9.10,18.59,268,8.76,103.7,9.69,0,-0.4,1.0,0.3,3.930
"10-01-2019 01:30:00",,,,,,,,,,,,,18.53,18.53,18.54,18.48,18.52,18.19,16.28,12.05,9.50,8.29,7.46,6.60,6.03,5.55,5.29,5.14,5.04,5.01,4.94,15.50,100,1016.3,6.0,6.7,188,60,0.0,0.0,0.0,218.0,0.02,5,5.53,294,8.09,72.4,9.11,18.57,268,8.75,103.7,9.70,0,-0.4,1.1,0.3,3.950
"10-01-2019 01:45:00",,,,,,,,,,,,,18.52,18.52,18.53,18.48,18.54,18.18,16.16,12.16,9.53,8.14,7.34,6.58,6.04,5.59,5.27,5.15,5.05,5.02,4.94,15.30,100,1015.6,7.1,8.0,179,60,0.0,0.0,0.0,210.0,0.02,5,5.57,293,8.10,72.9,9.17,18.57,268,8.75,103.7,9.70,0,-0.4,1.0,0.3,3.900
"10-01-2019 02:00:00",,,12.9,,,,,,,,-59,0,18.52,18.52,18.53,18.47,18.53,17.87,16.34,12.63,9.64,8.00,7.35,6.60,6.06,5.58,5.27,5.16,5.04,5.01,4.94,15.30,100,1015.7,7.4,8.0,182,0,0.0,0.0,0.0,211.0,0.02,5,5.56,293,8.10,72.7,9.14,18.57,268,8.76,103.6,9.69,0,-0.4,1.0,0.3,3.900
"10-01-2019 02:15:00",,,,,,,,,,,,,18.52,18.51,18.52,18.46,18.51,17.98,14.66,12.38,9.68,8.19,7.35,6.61,6.05,5.56,5.26,5.14,5.02,4.99,4.95,15.50,100,1015.4,7.2,7.8,179,0,0.0,0.0,0.0,212.0,0.02,5,5.57,293,8.10,72.8,9.16,18.56,268,8.75,103.7,9.69,0,-0.4,1.1,0.3,3.880
"10-01-2019 02:30:00",,,,,,,,,,,,,18.51,18.50,18.51,18.44,18.49,17.95,14.48,11.53,9.42,8.23,7.38,6.61,6.00,5.59,5.26,5.12,5.03,5.00,4.94,15.60,100,1015.5,5.7,6.5,180,0,0.0,0.0,0.0,215.0,0.02,5,5.58,293,8.10,73.0,9.17,18.55,268,8.75,103.6,9.69,0,-0.4,1.0,0.3,3.990
"10-01-2019 02:45:00",,,,,,,,,,,,,18.50,18.50,18.51,18.45,18.50,17.97,14.77,12.38,9.45,7.98,7.34,6.62,5.96,5.59,5.25,5.13,5.03,5.00,4.95,15.70,100,1015.0,6.0,6.4,178,0,0.0,0.0,0.0,215.0,0.02,5,5.58,293,8.10,73.0,9.18,18.55,268,8.75,103.6,9.69,0,-0.4,1.0,0.3,3.950
"10-01-2019 03:00:00",,,12.9,,,,,,,,-59,0,18.50,18.49,18.50,18.44,18.50,18.21,14.41,12.35,9.62,7.83,7.32,6.61,5.98,5.59,5.25,5.13,5.04,5.01,4.94,15.60,100,1014.9,8.2,8.9,185,0,0.0,0.0,0.0,210.0,0.02,5,5.59,293,8.10,73.1,9.18,18.54,268,8.75,103.5,9.69,0,-0.4,1.0,0.3,3.920
"10-01-2019 03:15:00",,,,,,,,,,,,,18.48,18.48,18.49,18.42,18.49,18.11,14.32,12.01,9.27,7.73,7.31,6.63,6.00,5.58,5.23,5.11,5.01,4.99,4.94,15.70,100,1015.0,6.8,7.5,189,0,0.0,0.0,0.0,214.0,0.02,5,5.58,293,8.10,72.9,9.17,18.52,268,8.75,103.5,9.69,0,-0.4,1.1,0.3,3.870
"10-01-2019 03:30:00",,,,,,,,,,,,,18.47,18.46,18.48,18.42,18.48,18.37,14.63,11.97,9.07,7.80,7.36,6.59,5.91,5.51,5.16,5.07,4.96,4.98,4.94,16.00,100,1014.9,6.3,7.1,176,0,0.0,0.0,0.0,212.0,0.02,5,5.47,294,8.09,71.6,9.03,18.51,268,8.75,103.4,9.68,0,-0.4,1.0,0.3,3.960
"10-01-2019 03:45:00",,,,,,,,,,,,,18.47,18.47,18.48,18.42,18.48,18.44,14.63,11.77,9.36,8.08,7.37,6.58,5.92,5.51,5.16,5.07,4.96,4.98,4.94,16.00,100,1014.5,7.2,7.8,177,0,0.0,0.0,0.0,212.0,0.02,5,5.41,294,8.08,71.0,8.97,18.51,269,8.75,103.4,9.68,0,-0.4,1.0,0.3,4.020
"10-01-2019 04:00:00",,,12.9,,,,,,,,-59,0,18.47,18.47,18.47,18.39,18.45,18.31,14.79,13.02,9.28,7.55,7.28,6.53,5.90,5.44,5.13,5.04,4.95,4.98,4.94,16.00,100,1014.4,6.3,6.6,184,0,0.0,0.0,0.0,213.0,0.02,4,5.36,294,8.08,70.7,8.93,18.51,269,8.75,103.3,9.67,0,-0.4,1.0,0.3,4.030
"10-01-2019 04:15:00",,,,,,,,,,,,,18.45,18.45,18.46,18.40,18.40,18.26,15.00,11.68,9.03,8.02,7.36,6.61,5.98,5.51,5.16,5.06,4.97,4.98,4.94,15.90,100,1014.2,7.7,8.4,185,60,0.0,0.1,0.1,211.0,0.02,5,5.43,294,8.08,70.6,8.91,18.49,269,8.74,103.3,9.67,0,-0.4,1.0,0.3,4.020
"10-01-2019 04:30:00",,,,,,,,,,,,,18.41,18.40,18.41,18.35,18.38,18.27,15.10,11.53,9.46,7.71,7.24,6.45,5.89,5.38,5.12,5.04,4.96,4.98,4.95,16.00,100,1013.7,8.9,9.4,185,60,0.0,0.0,0.0,210.0,0.02,5,5.32,294,8.08,69.9,8.85,18.44,269,8.74,103.1,9.66,0,-0.4,1.0,0.3,4.150
"10-01-2019 04:45:00",,,,,,,,,,,,,18.40,18.40,18.41,18.33,18.37,18.28,15.16,11.75,9.03,7.71,7.26,6.60,6.00,5.54,5.16,5.05,4.97,4.98,4.95,16.10,100,1014.0,8.3,8.8,192,60,0.0,0.0,0.0,210.0,0.02,5,5.47,294,8.08,70.9,8.94,18.44,269,8.74,103.0,9.66,0,-0.4,1.0,0.3,4.130
"10-01-2019 05:00:00",,,12.8,,,,,,,,-59,0,18.39,18.39,18.40,18.33,18.39,18.33,14.94,12.03,9.05,7.73,7.28,6.60,6.01,5.57,5.19,5.07,4.97,4.98,4.94,16.10,100,1014.1,8.0,8.7,192,60,0.0,0.1,0.1,211.0,0.02,5,5.49,294,8.09,71.7,9.03,18.43,269,8.74,102.8,9.64,0,-0.4,1.0,0.3,4.130
