center,color,diameter,mass
peanut butter,blue,16.2,2.18
peanut butter,brown,16.5,2.01
peanut butter,orange,15.48,1.78
peanut butter,brown,16.32,1.98
peanut butter,yellow,15.59,1.62
peanut butter,brown,17.43,2.59
peanut butter,yellow,15.45,1.9
peanut butter,green,17.3,2.55
peanut butter,yellow,16.37,2.07
peanut butter,blue,16.67,2.26
peanut butter,orange,15.58,1.66
peanut butter,brown,15.81,1.84
peanut butter,red,15.24,1.58
peanut butter,yellow,16.2,2.06
peanut butter,brown,14.73,1.37
peanut butter,yellow,15.55,1.76
peanut butter,brown,15.31,1.57
peanut butter,orange,15.27,2.01
peanut butter,blue,16.29,2.21
peanut butter,orange,16.02,1.79
peanut butter,green,15.22,1.6
peanut butter,blue,15.89,2.02
peanut butter,brown,15.62,1.7
peanut butter,green,16.87,2.47
peanut butter,yellow,15.74,1.64
peanut butter,blue,15.79,1.86
peanut butter,blue,15.91,1.78
peanut butter,yellow,15.74,1.73
peanut butter,orange,15.83,1.75
peanut butter,green,15.99,1.84
peanut butter,brown,15.2,1.73
peanut butter,blue,15.36,1.61
peanut butter,red,14.76,1.52
peanut butter,green,15.48,1.78
peanut butter,yellow,15.32,1.62
peanut butter,green,17.31,2.53
peanut butter,yellow,15.5,1.71
peanut butter,green,15.13,1.55
peanut butter,yellow,15.18,1.7
peanut butter,brown,15.31,1.65
peanut butter,green,16.45,2.08
peanut butter,yellow,15.31,1.61
peanut butter,yellow,15.86,1.93
peanut butter,blue,16.65,2.26
peanut butter,yellow,16.04,1.87
peanut butter,blue,16.22,1.97
peanut butter,green,16,1.97
peanut butter,brown,13.98,2.32
peanut butter,yellow,15.66,1.58
peanut butter,green,15.13,1.36
peanut butter,orange,15.14,1.4
peanut butter,green,16.24,2.05
peanut butter,green,16.76,2.1
peanut butter,brown,15.6,1.7
peanut butter,blue,16.03,1.93
peanut butter,blue,15.43,1.55
peanut butter,yellow,16.19,1.97
peanut butter,orange,15.14,1.48
peanut butter,green,16.21,1.94
peanut butter,orange,15.4,1.6
peanut butter,brown,15.9,1.9
peanut butter,blue,16.46,2.2
peanut butter,orange,15.46,1.62
peanut butter,brown,16.04,1.95
peanut butter,red,16.45,1.92
peanut butter,yellow,15.23,1.48
peanut butter,yellow,14.77,1.48
peanut butter,brown,15.86,1.84
peanut butter,blue,15.2,1.49
peanut butter,green,16.83,2.32
peanut butter,orange,16.91,2.25
peanut butter,orange,16.09,1.91
peanut butter,red,15.75,1.84
peanut butter,brown,15.84,1.87
peanut butter,yellow,15.02,1.39
peanut butter,red,16.23,1.69
peanut butter,green,15.72,1.81
peanut butter,yellow,16.43,2.16
peanut butter,yellow,15.29,1.69
peanut butter,red,15.65,1.78
peanut butter,blue,15.57,1.62
peanut butter,yellow,15.01,1.56
peanut butter,red,15.05,1.53
peanut butter,green,16.65,2.18
peanut butter,red,17.5,2.53
