center,color,diameter,mass
plain,yellow,12.76,0.83
plain,red,13.01,0.81
plain,brown,13.18,0.9
plain,blue,13.51,0.91
plain,green,13.44,0.92
plain,orange,13.29,0.84
plain,yellow,13.53,0.85
plain,green,13.3,0.87
plain,orange,13.31,0.81
plain,orange,13.23,0.88
plain,brown,12.91,0.8
plain,yellow,13.5,0.87
plain,yellow,13.42,0.79
plain,red,13.46,0.84
plain,blue,13.6,0.83
plain,brown,13.51,0.88
plain,red,13.44,0.83
plain,red,13.4,0.86
plain,orange,13.74,0.88
plain,blue,12.88,0.78
plain,brown,13.21,0.83
plain,green,13.48,0.87
plain,blue,13.31,0.87
plain,yellow,14.06,0.82
plain,orange,13.04,0.74
plain,brown,13.67,0.98
plain,orange,13.31,0.82
plain,orange,13.54,0.91
plain,blue,12.84,0.8
plain,blue,12.82,0.79
plain,red,13.13,0.79
plain,blue,13.33,0.87
plain,green,13.35,0.87
plain,red,13.65,0.86
plain,blue,13.45,0.89
plain,green,12.52,0.77
plain,orange,13.56,0.89
plain,yellow,13.55,0.97
plain,green,13.86,0.89
plain,red,13.12,0.84
plain,blue,13.04,0.85
plain,orange,13.06,0.82
plain,orange,12.93,0.79
plain,yellow,12.81,0.81
plain,green,13.02,0.84
plain,red,13.35,0.86
plain,red,13.53,0.9
plain,blue,13.52,0.91
plain,orange,13.15,0.9
plain,green,13.84,0.87
plain,yellow,13.21,0.89
plain,green,13.33,0.89
plain,blue,13.14,0.86
plain,blue,13.3,0.86
plain,red,13.44,0.92
plain,green,13.15,0.9
plain,blue,13.11,0.84
plain,brown,13.43,0.95
plain,orange,13.32,0.88
plain,orange,13.22,0.88
plain,brown,13.29,0.89
plain,brown,13.26,0.85
plain,green,13.29,0.86
plain,orange,13.16,0.81
plain,blue,13.34,0.83
plain,brown,13.15,0.89
plain,red,14.33,0.89
plain,yellow,13.17,0.85
plain,brown,13.35,0.91
plain,orange,13.31,0.87
plain,blue,12.39,0.81
plain,red,13.07,0.88
plain,blue,13.05,0.88
plain,brown,13.72,0.87
plain,green,13.13,0.86
plain,brown,13.69,0.84
plain,brown,13.47,0.89
plain,red,12.98,0.84
plain,brown,13.04,0.87
plain,blue,13.08,0.82
plain,orange,13.16,0.78
plain,red,13.19,0.79
plain,green,13.44,0.84
plain,yellow,13.9,0.82
plain,orange,13.45,0.9
plain,orange,14.38,0.97
plain,blue,13.71,0.8
plain,green,12.73,0.88
plain,green,13.59,0.91
plain,green,13.72,0.93
plain,red,13.03,0.79
plain,yellow,13.84,0.86
plain,blue,13.32,0.94
plain,green,13.6,0.87
plain,red,12.91,0.8
plain,brown,13.29,0.85
plain,red,13.26,0.91
plain,orange,13.46,0.87
plain,brown,13.37,0.93
plain,brown,14.24,0.88
plain,brown,13.17,0.93
plain,orange,12.47,0.85
plain,brown,13.56,0.92
plain,blue,13.32,0.94
plain,orange,13.32,0.87
plain,blue,12.89,0.85
plain,orange,13.33,0.88
plain,orange,13.87,0.91
plain,yellow,13.28,0.9
plain,blue,13.06,0.86
plain,orange,13.23,0.85
plain,brown,13.82,0.85
plain,yellow,12.77,0.85
plain,green,13.09,0.84
plain,yellow,13.5,0.94
plain,green,13.72,0.87
plain,green,13.49,0.92
plain,blue,14.06,0.95
plain,yellow,12.67,0.83
plain,blue,12.81,0.83
plain,yellow,13.75,0.88
plain,green,13.37,0.91
plain,blue,13.34,0.93
plain,yellow,12.32,0.72
plain,red,13.1,0.84
plain,brown,13.32,0.84
plain,red,13.44,0.92
plain,yellow,13.55,0.86
plain,brown,13.56,0.89
plain,blue,13.17,0.84
plain,green,13.54,0.9
plain,red,13.65,0.92
plain,brown,13.23,0.88
plain,brown,13.39,0.93
plain,red,13.43,0.88
plain,yellow,13.4,0.89
plain,green,12.9,0.84
plain,green,12.8,0.81
plain,red,13.28,0.86
plain,green,13.58,0.9
plain,brown,13.05,0.88
plain,green,12.72,0.9
plain,blue,13.29,0.9
plain,green,13.05,0.89
plain,orange,13.19,0.89
plain,brown,13.01,0.86
plain,blue,12.9,0.92
plain,red,13.69,0.95
plain,red,13.23,0.85
plain,green,14.01,0.93
plain,blue,13.56,0.91
plain,red,13.47,0.89
plain,yellow,13.28,0.88
plain,red,14.2,0.95
plain,red,13.12,0.86
plain,orange,13.54,0.91
plain,green,13.04,0.85
plain,yellow,13.63,0.87
plain,blue,13.42,0.88
plain,brown,12.86,0.89
plain,yellow,13.48,0.89
plain,orange,13.13,0.82
plain,red,13.25,0.84
plain,green,13.32,0.92
plain,blue,13.71,0.98
plain,green,13.27,0.88
plain,orange,13.25,0.91
plain,green,13.37,0.89
plain,brown,13.27,0.88
plain,yellow,13.3,0.93
plain,brown,13.14,0.83
plain,red,13.27,0.85
plain,brown,13.49,0.93
plain,orange,13.38,0.88
plain,green,13.05,0.81
plain,yellow,13.51,0.9
plain,yellow,13.52,0.88
plain,red,13.22,0.87
plain,brown,13.28,0.95
plain,yellow,12.81,0.79
plain,blue,12.97,0.82
plain,brown,12.73,0.77
plain,orange,13.07,0.89
plain,orange,13.12,0.85
plain,yellow,13.59,0.84
plain,blue,13.4,0.88
plain,blue,13.38,0.89
plain,green,13.88,0.85
plain,blue,13.59,0.95
plain,brown,13.58,0.9
plain,yellow,13.33,0.84
plain,yellow,13.07,0.86
plain,green,13.23,0.9
plain,orange,13.91,0.89
plain,brown,12.99,0.86
plain,red,13.37,0.88
plain,green,13.22,0.81
plain,brown,13.38,0.96
plain,red,12.91,0.87
plain,green,13.64,0.85
plain,green,14.17,0.91
plain,orange,12.88,0.87
plain,brown,14.1,0.89
plain,brown,12.86,0.77
plain,red,13.08,0.82
plain,yellow,13.25,0.84
plain,orange,13.28,0.88
plain,green,13.33,0.89
plain,brown,12.88,0.88
plain,blue,13.2,0.9
plain,orange,12.99,0.84
plain,green,13.59,0.91
plain,green,13.85,0.8
