datetime,temp,odo_mgl
7/1/2019 00:00:00,20,9
7/1/2019 00:15:00,20,8.9
7/1/2019 00:30:00,20,8.8
7/1/2019 00:45:00,20,8.7
7/1/2019 01:00:00,20,8.6
7/1/2019 01:15:00,20,8.5
7/1/2019 01:30:00,20,8.4
7/1/2019 01:45:00,20,8.3
7/1/2019 02:00:00,20,8.2
7/1/2019 02:15:00,20,8.1
7/1/2019 02:30:00,20,8
7/1/2019 02:45:00,20,7.9
7/1/2019 03:00:00,20,7.8
7/1/2019 03:15:00,20,7.7
7/1/2019 03:30:00,20,7.6
7/1/2019 03:45:00,20,7.5
7/1/2019 04:00:00,20,7.4
7/1/2019 04:15:00,20,7.3
7/1/2019 04:30:00,20,7.2
7/1/2019 04:45:00,20,7.1
7/1/2019 05:00:00,20,7
7/1/2019 05:15:00,20,6.9
7/1/2019 05:30:00,20,6.8
7/1/2019 05:45:00,20,6.7
7/1/2019 06:00:00,20,6.6
7/1/2019 06:15:00,20,6.7
7/1/2019 06:30:00,20,6.8
7/1/2019 06:45:00,20,6.9
7/1/2019 07:00:00,20,7
7/1/2019 07:15:00,20,7.1
7/1/2019 07:30:00,20,7.2
7/1/2019 07:45:00,20,7.3
7/1/2019 08:00:00,20,7.4
7/1/2019 08:15:00,20,7.5
7/1/2019 08:30:00,20,7.6
7/1/2019 08:45:00,20,7.7
7/1/2019 09:00:00,20,7.8
7/1/2019 09:15:00,20,7.9
7/1/2019 09:30:00,20,8
7/1/2019 09:45:00,20,8.1
7/1/2019 10:00:00,20,8.2
7/1/2019 10:15:00,20,8.3
7/1/2019 10:30:00,20,8.4
7/1/2019 10:45:00,20,8.5
7/1/2019 11:00:00,20,8.6
7/1/2019 11:15:00,20,8.7
7/1/2019 11:30:00,20,8.8
7/1/2019 11:45:00,20,8.9
7/1/2019 12:00:00,20,9
