"PERMANENT_ID","lake.name","date","year","month","day","Z.max","sample.depth","sample.layer","TotalP.ug.L","MRP.ug.L","TFP.ug.L","TotalN","chl.a.ug.L","Fe"
131843856,"Big Moose",1994-06-30,1994,6,30,22.8,6,"Ye",5.5,3.2,2.4,0.66,0.82,"0.2"
131843856,"Big Moose",1994-07-25,1994,7,25,23,6,"Ye",4.8,1.6,0.5,0.57,0.94,"0.14"
131843856,"Big Moose",1994-08-30,1994,8,30,22.4,9,"Ye",1.5,1.6,3.8,0.43,1.88,"0.05"
131843856,"Big Moose",1995-06-20,1995,6,20,17.5,4,"Ye",9.7,2.1,7.2,0.82,NA,"0.05"
131843856,"Big Moose",1995-08-07,1995,8,7,22,7,"Ye",1.2,2.49,7.7,0.7,1.24,"0.17"
131843856,"Big Moose",1995-09-12,1995,9,12,22.8,10,"Ye",1.3,1.79,4.12,0.42,0.48,"0.13"
131843856,"Big Moose",1996-06-26,1996,6,26,18.6,3,"Ye",8.43,1.81,0.5,0.46,1.28,"0.16"
131843856,"Big Moose",1996-07-23,1996,7,23,22,6,"Ye",5.13,0.5,0.5,0.59,0.45,"0.2"
131843856,"Big Moose",1996-08-20,1996,8,20,21.8,5,"Ye",7.71,0.5,0.5,0.62,0.43,"0.12"
131843856,"Big Moose",1997-07-09,1997,7,9,22,5,"Ye",5,1.07,0.5,0.51,1.23,"0.13"
131843856,"Big Moose",1997-08-19,1997,8,19,21.3,6,"Ye",5.4,1.2,1.7,0.49,1.6,"0.14"
131843856,"Big Moose",1998-07-14,1998,7,14,21,4,"Ye",6.25,1.63,2.25,0.54,1.43,"0.15"
131843856,"Big Moose",1998-08-17,1998,8,17,22.5,6,"Ye",6,2.39,5.3,0.39,3.35,"0.21"
131843856,"Big Moose",1999-06-30,1999,6,30,18,4,"Ye",5.17,2.24,1.48,0.41,1.01,"0.17"
131843856,"Big Moose",1999-08-24,1999,8,24,19,6,"Ye",3.25,2.29,0.5,0.47,1.58,"0.16"
131843856,"Big Moose",2000-07-19,2000,7,19,21.6,7,"Ye",3.99,3.22,2.26,0.39,1.71,"0.24"
131843856,"Big Moose",2000-08-23,2000,8,23,22.5,8,"Ye",6.81,3.55,2.19,0.33,2.77,"0.26"
131843856,"Big Moose",2001-07-18,2001,7,18,22.5,6,"Ye",4.01,2.67,1.47,0.41,1.46,"0.13"
131843856,"Big Moose",2001-08-08,2001,8,8,21.3,4,"Ye",4.07,0.5,1.7,0.39,1.61,"0.13"
