"PERMANENT_ID","lake.name","date","year","month","day","secchi"
131843856,"Big Moose",1994-06-30,1994,6,30,3.8
131843856,"Big Moose",1994-07-25,1994,7,25,5.2
131843856,"Big Moose",1994-08-30,1994,8,30,6.1
131843856,"Big Moose",1995-06-20,1995,6,20,5
131843856,"Big Moose",1995-08-07,1995,8,7,5
131843856,"Big Moose",1995-09-12,1995,9,12,5.8
131843856,"Big Moose",1996-06-26,1996,6,26,3.3
131843856,"Big Moose",1996-07-23,1996,7,23,3.2
131843856,"Big Moose",1996-08-20,1996,8,20,4.5
131843856,"Big Moose",1997-07-09,1997,7,9,8.5
131843856,"Big Moose",1997-08-19,1997,8,19,5.3
131843856,"Big Moose",1998-07-14,1998,7,14,3
131843856,"Big Moose",1998-08-17,1998,8,17,3.7
131843856,"Big Moose",1999-06-30,1999,6,30,6.2
131843856,"Big Moose",1999-08-24,1999,8,24,5.2
131843856,"Big Moose",2000-07-19,2000,7,19,3.5
131843856,"Big Moose",2000-08-23,2000,8,23,4.4
131843856,"Big Moose",2001-07-18,2001,7,18,5.1
131843856,"Big Moose",2001-08-08,2001,8,8,6.5
131843856,"Big Moose",2002-08-14,2002,8,14,6.2
131843856,"Big Moose",2002-09-17,2002,9,17,7
131843856,"Big Moose",2003-07-16,2003,7,16,4.8
131843856,"Big Moose",2003-09-05,2003,9,5,4.3
131843856,"Big Moose",2004-07-07,2004,7,7,4.7
131843856,"Big Moose",2004-08-10,2004,8,10,4.5
131843856,"Big Moose",2005-07-20,2005,7,20,4.1
131843856,"Big Moose",2005-08-17,2005,8,17,4.9
131843856,"Big Moose",2006-07-17,2006,7,17,3.95
131843856,"Big Moose",2006-08-16,2006,8,16,4.1
131843856,"Big Moose",2007-07-12,2007,7,12,4.9
131843856,"Big Moose",2007-07-31,2007,7,31,4.9
131843856,"Big Moose",2008-07-01,2008,7,1,4.5
131843856,"Big Moose",2008-08-04,2008,8,4,3
131843856,"Big Moose",2010-07-08,2010,7,8,2.8
131843856,"Big Moose",2010-08-18,2010,8,18,3.5
131843856,"Big Moose",2011-07-12,2011,7,12,2.8
131843856,"Big Moose",2011-08-09,2011,8,9,2.8
131843856,"Big Moose",2012-07-09,2012,7,9,3.3
131843856,"Big Moose",2012-08-07,2012,8,7,5.9
131843856,"Big Moose",2003-08-13,2003,8,13,NA
131845828,"Brooktrout",1994-07-13,1994,7,13,7.2
131845828,"Brooktrout",1994-07-26,1994,7,26,7.7
131845828,"Brooktrout",1994-08-22,1994,8,22,9.9
131845828,"Brooktrout",1995-06-12,1995,6,12,7.4
131845828,"Brooktrout",1995-08-14,1995,8,14,11.4
131845828,"Brooktrout",1995-09-05,1995,9,5,11.7
131845828,"Brooktrout",1996-06-27,1996,6,27,NA
131845828,"Brooktrout",1996-07-17,1996,7,17,6.2
131845828,"Brooktrout",1996-08-13,1996,8,13,6.1
131845828,"Brooktrout",1997-07-07,1997,7,7,4
131845828,"Brooktrout",1997-08-11,1997,8,11,4.5
131845828,"Brooktrout",1998-07-07,1998,7,7,3.9
131845828,"Brooktrout",1998-08-12,1998,8,12,6.1
131845828,"Brooktrout",1999-07-06,1999,7,6,6.2
131845828,"Brooktrout",1999-08-16,1999,8,16,6
131845828,"Brooktrout",2000-07-11,2000,7,11,2.6
131845828,"Brooktrout",2000-08-14,2000,8,14,2.3
131845828,"Brooktrout",2001-07-09,2001,7,9,5.3
131845828,"Brooktrout",2001-09-05,2001,9,5,4.6
131845828,"Brooktrout",2002-09-12,2002,9,12,3.6
131845828,"Brooktrout",2002-09-19,2002,9,19,4.5
131845828,"Brooktrout",2003-07-08,2003,7,8,3
131845828,"Brooktrout",2003-08-05,2003,8,5,3
131845828,"Brooktrout",2004-07-12,2004,7,12,5
131845828,"Brooktrout",2004-08-02,2004,8,2,7.2
131845828,"Brooktrout",2005-07-11,2005,7,11,5.3
131845828,"Brooktrout",2005-08-08,2005,8,8,6.2
131845828,"Brooktrout",2006-07-11,2006,7,11,2.95
131845828,"Brooktrout",2006-08-09,2006,8,9,4.8
