sampledate,year4,month,daynum,depth,wtemp,flag_wtemp
2006-06-27,2006,6,178,0.00,22.205,"N"
2006-06-27,2006,6,178,0.50,22.202,"N"
2006-06-27,2006,6,178,1.00,22.244,"N"
2006-06-27,2006,6,178,1.50,22.219,"N"
2006-06-27,2006,6,178,2.00,22.259,"N"
2006-06-27,2006,6,178,2.50,22.214,"N"
2006-06-27,2006,6,178,3.00,22.055,"N"
2006-06-27,2006,6,178,3.50,22.230,"N"
2006-06-27,2006,6,178,4.00,22.240,"N"
2006-06-27,2006,6,178,4.50,22.149,"N"
2006-06-27,2006,6,178,5.00,22.081,"N"
2006-06-27,2006,6,178,5.50,21.981,"N"
2006-06-27,2006,6,178,6.00,21.793,"N"
2006-06-27,2006,6,178,6.50,21.735,"N"
2006-06-27,2006,6,178,7.00,21.660,"N"
2006-06-27,2006,6,178,8.00,15.575,"N"
2006-06-27,2006,6,178,9.00,13.342,"N"
2006-06-27,2006,6,178,10.00,13.084,"N"
2006-06-27,2006,6,178,11.00,12.661,"N"
2006-06-27,2006,6,178,12.00,12.389,"N"
2006-06-27,2006,6,178,13.00,12.238,"N"
2006-06-27,2006,6,178,14.00,12.123,"N"
2006-06-27,2006,6,178,15.00,11.925,"N"
2006-06-28,2006,6,179,0.00,22.245,"N"
2006-06-28,2006,6,179,0.50,22.246,"N"
2006-06-28,2006,6,179,1.00,22.272,"N"
2006-06-28,2006,6,179,1.50,22.233,"N"
2006-06-28,2006,6,179,2.00,22.268,"N"
2006-06-28,2006,6,179,2.50,22.227,"N"
2006-06-28,2006,6,179,3.00,22.066,"N"
2006-06-28,2006,6,179,3.50,22.237,"N"
2006-06-28,2006,6,179,4.00,22.229,"N"
2006-06-28,2006,6,179,4.50,22.141,"N"
2006-06-28,2006,6,179,5.00,22.115,"N"
2006-06-28,2006,6,179,5.50,21.986,"N"
2006-06-28,2006,6,179,6.00,21.572,"N"
2006-06-28,2006,6,179,6.50,20.931,"N"
2006-06-28,2006,6,179,7.00,20.000,"N"
2006-06-28,2006,6,179,8.00,17.029,"N"
2006-06-28,2006,6,179,9.00,14.774,"N"
2006-06-28,2006,6,179,10.00,13.670,"N"
2006-06-28,2006,6,179,11.00,13.016,"N"
2006-06-28,2006,6,179,12.00,12.678,"N"
2006-06-28,2006,6,179,13.00,12.138,"N"
2006-06-28,2006,6,179,14.00,11.777,"N"
2006-06-28,2006,6,179,15.00,11.571,"N"
2006-06-29,2006,6,180,0.00,23.403,"N"
2006-06-29,2006,6,180,0.50,22.942,"N"
2006-06-29,2006,6,180,1.00,22.594,"N"
2006-06-29,2006,6,180,1.50,22.343,"N"
2006-06-29,2006,6,180,2.00,22.249,"N"
2006-06-29,2006,6,180,2.50,22.135,"N"
2006-06-29,2006,6,180,3.00,21.907,"N"
2006-06-29,2006,6,180,3.50,22.030,"N"
