permanent_id,lake_name,date,year,Cladoceran_Bosmina_longirostris,Cladoceran_Daphnia_catawba,Cladoceran_Daphnia_pulex,Cladoceran_Diaphanosoma_birgei,Cladoceran_Diaphanosoma_brachyurum,Cladoceran_Holopedium_giberum,Copepod_Aglaodiaptomus_leptpus,Copepod_Cyclops_scutifer,Copepod_Epischura_lacustris,Copepod_Leptodiaptomus_minutus,Copepod_Mesocyclops_edax,Copepod_Tropocyclops_extensus
47723283,Willis,1994-06-28,1994,0,0.00403,0,0,0,0.00403,0,0,0,0.08872,0.01613,0.55652
47723283,Willis,1994-07-27,1994,0,0,0,0,0,3.29218,0,0,0.204,0,33.12757,57.33882
47723283,Willis,1994-08-31,1994,0,0.03556,0,0,0,0,0,0,0,0.144,0.00533,0.12267
47723283,Willis,1995-08-09,1995,0,0,0,0,0,1.8,0,0,0,0.8,25.4,0
47723283,Willis,1995-09-12,1995,0,0,0,0,1.43427,2.11043,0,0,0,0.28685,0.34832,5.901
47723283,Willis,1996-06-17,1996,0,0,0,0,0.881,31.60741,0,0,0,19.581,0,3.148
47723283,Willis,1996-07-22,1996,0,0,0,0,0.43095,1.09173,0,0,0,18.24345,0.259,1.839
47723283,Willis,1996-08-19,1996,0,1.30282,0,0,2.77984,5.90081,0,0,0,14.74476,2.87782,6.78266
47723283,Willis,1997-07-14,1997,0.07236,0,0,0,0,0.00762,0,0,0,0.10663,0,0
47723283,Willis,1997-08-18,1997,1.45161,0,0,0,0,12.12903,0,0,0.03226,0.20968,0.37097,0.68587
47723283,Willis,1998-07-13,1998,7.95968,0.06351,0,0,0,3.36593,0,0,0,0.10585,0.35988,0
47723283,Willis,1998-08-10,1998,3.296,0.23333,0,0,0.175,2.59583,0,0,0,0,0.49583,0.29167
47723283,Willis,1999-06-29,1999,0,0,0,0,0,0,0,0,0,0.28116,0,0
47723283,Willis,1999-08-23,1999,0,0,0,0,4.2517,33.92857,0,0,0,0,33.33333,26.70068
47723283,Willis,2000-07-18,2000,0.95602,0,0,0,0,1.2747,0,0,0,0.63735,3.58509,1.5137
47723283,Willis,2000-08-21,2000,12.82099,0,0,0,0,0,0,0,0,0.41237,3.37395,0
47723283,Willis,2001-07-17,2001,5.191,0.05,0,0,0,0.22,0,0,0,0.027,0.306,0.386
47723283,Willis,2001-08-07,2001,2.8,0.7,0,0,0.1,22.3,0,0,0,1,0.55,3.6
47723283,Willis,2002-08-13,2002,5.53221,0,0,0,0.07003,0,0,0,0,0.42017,4.01494,3.0112
47723283,Willis,2002-09-24,2002,2.97619,0,0,0,1.16922,10.82058,0,0,0,0.53146,4.20918,9.39626
47723283,Willis,2003-07-15,2003,0.05102,0,0,0,0,0.35289,0,0,0,0.18282,0,0.059520000000000003
47723283,Willis,2004-07-06,2004,48.355,0,0,0,0.19,1.6625,0,0,0,3.325,1.805,3.515
47723283,Willis,2004-08-11,2004,17.65,0,0,0,1.85,0.35,0,0,0,3.75,6.6,7
47723283,Willis,2005-07-19,2005,3.375,0,0,0,2.675,1.625,0,0,0,11,2.6,0.825
47723283,Willis,2005-08-16,2005,4.7175,0,0,0,2.3125,0.4625,0,0,0,4.20875,2.26625,3.3763
47723283,Willis,2006-07-18,2006,7.5,0.2,0,3.35,0,5.15,0,0,0,17.15,3.05,0.75
47723283,Willis,2006-08-15,2006,3.25833,0.14167,0,0,6.42222,2.59722,0,0,0,9.30278,5.90278,1.60556
131845587,Grass,1994-06-20,1994,1.675,1.34,0,0,0,0.67,0,0,0,32.245,2.847,0
131845587,Grass,1994-07-25,1994,1.84899,3.40259,0,0,0.22539,2.44601,0,0,0,33.71,3.13303,1.42569
131845587,Grass,1994-08-23,1994,0.07658,4.97748,0,0,0,0.02252,0,0,0,5.22973,1.6967,0
131845587,Grass,1995-06-13,1995,1.39453,2.37891,0,0,0,4.96289,0,0,0,46.06055,1.92773,0
131845587,Grass,1995-08-15,1995,0,6.188,0,0,0.375,0,0,0,0,32.251,3,0
131845587,Grass,1995-09-07,1995,0,5.80645,0,0,0,0,0,0,0,16.29435,0,4.60887
131845587,Grass,1996-06-18,1996,0,0.3,0,0,0,1.05,0,0,0,44.4,1.95,1.35
131845587,Grass,1996-07-19,1996,0,3.63911,0,0,0,1.27688,0,0,0,30.071,5.3629,0
131845587,Grass,1996-08-14,1996,0,6.12399,0,0,0,1.87258,0,0,0,19.20464,1.10504,1.97056
131845587,Grass,1997-07-08,1997,2.77,1.73148,0,0,1.38519,6.76852,0,0,0,24.39785,4.37593,3.52593
131845587,Grass,1997-08-12,1997,4.95968,2.18952,0,0,1.08871,3.59274,0,0,0,21.66532,2.49194,1.75361
131845587,Grass,1998-07-09,1998,0,5.985,0,0,0.9975,3.23,0,0,0,14.82,1.0925,0
131845587,Grass,1998-08-12,1998,0,2.5875,0,0,0.825,2.0625,0,0,0,13.5375,5.813,0
131845587,Grass,1999-07-08,1999,0,0.93484,0,0,8.12087,0.661,0,0,0,25.66572,7.84703,0
131845587,Grass,1999-08-18,1999,0,6.4,0,0,5.32,2.33,0,0,0,19.51,13.19,20.29
131845587,Grass,2000-07-20,2000,0,1.61565,0,0,2.38095,0,0,0,0,16.07143,6.54762,1.61565
131845587,Grass,2000-08-16,2000,0,1.63541,0,0,0.42011,0,0,0,0,12.84321,2.34059,7.77194
131845587,Grass,2001-07-11,2001,2.24167,0.15,0,0,1.00833,7.18333,0,0,0,18.49167,1.58333,0.55
131845587,Grass,2001-09-07,2001,1.725,0.08125,0,0,0.08125,0.1625,0,0,0,8.969,5.43125,7.26875
131845587,Grass,2002-09-13,2002,1.2,1.0875,0,0,0.3,0.7125,0,0,0,6.7875,4.725,3.4875
131845587,Grass,2002-09-18,2002,1.65,0.825,0,0,0,0.8625,0,0,0,7.35,14.775,6
131845587,Grass,2003-07-09,2003,2.18422,0.57606,0,0,0.40804,0.14401,0,0,0,29.13891,2.18422,0
131845587,Grass,2003-08-06,2003,17.91073,0.7033,0,0,2.62566,0.04689,0,0,0,29.81995,2.29745,2.62566
131845587,Grass,2004-07-13,2004,16.91,9.31,0,0,0.665,0,0,0,0,41.23,4.56,0
131845587,Grass,2004-08-03,2004,0.55,9.05,0,0,0,0.05,0,0,0,19.6,2.4,1.45
131845587,Grass,2005-07-12,2005,0.675,7.83,0,0,0.135,0.135,0,0,0,25.785,4.86,2.565
131845587,Grass,2005-08-09,2005,0.95,19.475,0,0,0.475,1.50417,0,0,0,17.73333,3.5625,1.425
131845587,Grass,2006-07-13,2006,12.15,3.15,0,0,0.135,0.18,0,0,0,23.895,3.825,0.765
131845587,Grass,2006-08-09,2006,2.3,9.3,0,0,0.15,0.45,0,0,0,22.85,1.7,1.9
131845836,Indian,1994-06-28,1994,6.36463,0,0.38043,0,0,0,0.98024,0,0,15.05074,1.72167,0
131845836,Indian,1994-08-02,1994,7.68491,0,0.1532,0,0.06769,0,0.63774,0,0,19.88742,0.90138,1.35
