permanent_id,lake_name,date,group,org_l,year
131846593,South,1994-06-30,cladoceran,3.888,1994
131846593,South,1994-07-27,cladoceran,6.11278,1994
131846593,South,1994-08-31,cladoceran,5.43744,1994
131846593,South,1995-06-19,cladoceran,1.26099,1995
131846593,South,1995-08-08,cladoceran,4.1,1995
131846593,South,1995-09-13,cladoceran,2.8181,1995
131846593,South,1996-06-17,cladoceran,8.0625,1996
131846593,South,1996-07-15,cladoceran,12.32778,1996
131846593,South,1996-08-19,cladoceran,7.98388,1996
131846593,South,1997-07-14,cladoceran,10.83932,1997
131846593,South,1997-08-18,cladoceran,3.86611,1997
131846593,South,1998-07-13,cladoceran,2.969,1998
131846593,South,1998-08-17,cladoceran,3.25,1998
131846593,South,1999-06-29,cladoceran,7.5543,1999
131846593,South,1999-08-23,cladoceran,5.6,1999
131846593,South,2000-07-18,cladoceran,56.76964,2000
131846593,South,2000-08-21,cladoceran,5.78,2000
131846593,South,2001-07-17,cladoceran,11.71929,2001
131846593,South,2001-08-07,cladoceran,6.165,2001
131846593,South,2002-08-13,cladoceran,7.73522,2002
131846593,South,2002-09-10,cladoceran,4.73685,2002
131846593,South,2003-07-15,cladoceran,18.07865,2003
131846593,South,2003-08-12,cladoceran,6.42115,2003
131846593,South,2004-07-06,cladoceran,14.5,2004
131846593,South,2004-08-11,cladoceran,2.3926,2004
131846593,South,2005-07-19,cladoceran,10.48056,2005
131846593,South,2005-08-16,cladoceran,3.77778,2005
131846593,South,2006-07-18,cladoceran,14.42778,2006
131846593,South,2006-08-15,cladoceran,1.40741,2006
131846593,South,1994-06-30,copepod,23.452,1994
131846593,South,1994-07-27,copepod,26.55989,1994
131846593,South,1994-08-31,copepod,24.71466,1994
131846593,South,1995-06-19,copepod,22.88185,1995
131846593,South,1995-08-08,copepod,23.05,1995
131846593,South,1995-09-13,copepod,64.15323,1995
131846593,South,1996-06-17,copepod,37.46925,1996
131846593,South,1996-07-15,copepod,27.66563,1996
131846593,South,1996-08-19,copepod,16.48185,1996
131846593,South,1997-07-14,copepod,9.22192,1997
131846593,South,1997-08-18,copepod,19.68526,1997
131846593,South,1998-07-13,copepod,6.09224,1998
131846593,South,1998-08-17,copepod,15.6,1998
131846593,South,1999-06-29,copepod,26.32672,1999
131846593,South,1999-08-23,copepod,39.2,1999
131846593,South,2000-07-18,copepod,24.14883,2000
131846593,South,2000-08-21,copepod,19.61,2000
131846593,South,2001-07-17,copepod,9.72003,2001
131846593,South,2001-08-07,copepod,10.215,2001
131846593,South,2002-08-13,copepod,5.14063,2002
131846593,South,2002-09-10,copepod,4.87855,2002
131846593,South,2003-07-15,copepod,6.09659,2003
131846593,South,2003-08-12,copepod,10.76487,2003
131846593,South,2004-07-06,copepod,38.88888,2004
131846593,South,2004-08-11,copepod,15.34075,2004
131846593,South,2005-07-19,copepod,9.64444,2005
131846593,South,2005-08-16,copepod,9.52592,2005
131846593,South,2006-07-18,copepod,13.99997,2006
131846593,South,2006-08-15,copepod,8.76111,2006
